Time	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11
64.1525	1842	60298	91848	100411	84850	76066	74398	70606	61783	78155
64.20833333333333	1831	60488	94367	98049	86406	77135	73996	70226	61956	67533
64.26416666666667	1844	59609	96594	97612	84892	77528	74659	68980	64332	70129
64.32	1820	58303	97145	98993	83696	77322	73426	71924	63381	73085
64.37583333333333	1815	59950	98511	97554	84361	76097	72647	69313	64721	68527
64.43166666666667	1866	58716	98172	98528	83530	79374	74968	69408	62386	73199
64.4875	1839	60939	92735	97263	85255	76776	72857	69916	62627	73317
64.54333333333334	1839	59052	91989	97224	84614	77218	73241	67292	62145	73011
64.59916666666666	1816	60043	94920	96843	86829	75648	74072	69933	61961	69877
64.655	1852	60747	94536	98067	85360	77019	71429	70307	62122	64645
64.71083333333333	1828	59418	96177	99764	87073	76883	74611	70696	63308	66486
64.76666666666667	1866	60427	93789	98121	85032	76491	72865	70075	61422	65242
64.8225	1827	59759	93548	95666	84777	76442	75315	70182	62634	67948
64.87833333333333	1834	60175	97265	99158	86270	77254	74703	70851	64185	68440
64.93416666666667	1786	59558	93197	99877	85322	75637	74833	69284	63887	63011
64.99	1831	59908	91821	97329	83918	77111	71854	69496	63927	63721
65.04583333333333	1846	59753	91837	96621	84474	74742	72022	68618	62843	69397
65.10166666666667	1866	57278	93935	98788	83906	75937	74498	68933	64341	67029
65.1575	1864	59901	94428	97056	84129	75901	71318	70224	62309	68029
65.21333333333334	1819	58959	93782	96417	87166	77203	73063	69219	60506	60786
65.26916666666666	1844	60341	91536	97213	84628	75712	73322	71542	61778	73751
65.325	1839	60339	94852	97725	84732	77613	71942	70750	62988	69181
65.38083333333333	1873	59675	97334	97280	85113	77570	72517	68922	62841	70850
65.43666666666667	1794	62433	96333	98952	86033	78255	71179	69907	61622	68872
65.4925	1834	59409	92521	100438	85124	75339	72680	68491	60306	71396
65.54833333333333	1834	61683	91816	99547	85594	78035	75141	70359	61821	66222
65.60416666666667	1851	60848	92811	100020	84836	76340	70474	70490	62601	73550
65.66	1856	60626	92004	97792	84306	77172	74751	67878	62697	76351
65.71583333333334	1826	61271	90390	98066	83575	77301	73927	69451	63676	77647
65.77166666666666	1833	64322	93288	98262	85554	77302	73315	69842	63223	73622
65.8275	1824	63912	89266	96658	87391	75627	73392	67324	63977	68359
65.88333333333334	1826	64979	89359	94203	85227	75640	73194	67135	63544	75092
65.93916666666667	1814	65042	92990	96825	84174	75075	70986	69774	64044	73047
65.995	1801	68554	92611	98858	84229	77488	71168	68309	63778	72568
66.05083333333333	1862	68382	90062	100049	86760	76140	73596	68695	61838	71361
66.10666666666667	1825	62016	93071	100281	84937	77480	74204	69631	62028	68385
66.1625	1808	66439	91635	99532	86706	77615	73595	68844	62747	72336
66.21833333333333	1810	66386	91453	97583	88593	75308	73637	71362	63054	71091
66.27416666666667	1858	70669	90889	100011	85265	76848	74369	69986	60686	67514
66.33	1846	70471	91835	99527	85328	76739	71548	67804	61927	67425
66.38583333333334	1821	71269	94098	97943	83590	76094	74453	68971	63150	72635
66.44166666666666	1825	67305	95516	97437	86013	76292	71298	68132	63267	70821
66.4975	1805	69366	92854	101055	85742	75318	73675	68433	62642	69811
66.55333333333333	1839	67664	90093	98022	86313	75986	70616	69548	62347	69309
66.60916666666667	1820	66094	91730	99485	85530	78383	72577	71209	60583	69071
66.665	1860	64562	92943	97329	85192	76510	70454	69740	62447	72613
66.72083333333333	1817	68390	93895	100516	87366	76497	73536	70572	59752	71933
66.77666666666667	1837	71734	95844	99117	85966	76059	72863	71090	62585	69816
66.8325	1838	71557	92537	98261	82304	74858	72999	68509	62819	72745
66.88833333333334	1780	69953	94049	98192	85416	74851	72559	69924	61109	74462
66.94416666666666	1826	71566	92976	96333	84197	76176	73419	70474	62784	71916
67.0	1804	70221	94342	96973	85926	75133	73688	68859	63539	63399
67.05583333333334	1817	73133	96101	96397	85241	77064	71368	69512	61646	69502
67.11166666666666	1836	73551	94070	98615	84162	75315	73822	69247	63296	64429
67.1675	1831	74179	95201	98927	85007	77417	73571	68092	60553	65029
67.22333333333333	1829	69980	94140	97398	85563	77957	73198	70039	60728	65935
67.27916666666667	1840	73343	96627	98723	84805	77466	74346	68408	62737	68845
67.335	1820	70378	92571	100446	86690	75624	73186	67994	62138	68159
67.39083333333333	1855	71700	94335	101254	87305	76474	74852	70078	62429	66918
67.44666666666667	1808	76007	94842	95896	85866	77416	72428	69200	61006	69749
67.5025	1851	73777	93777	99719	84917	75469	72999	70526	61312	64179
67.55833333333334	1819	71919	96057	98456	84137	76545	72988	69382	62725	68867
