Time	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	E01	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	G01	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11	G12
0.800000	78279	46387	30416	21263	18465	15705	14983	14851	14688	14234	14194	95475	76722	46111	29595	22347	17549	16328	15336	14596	14852	14948	14159	106141	76578	46507	31219	21916	17552	16565	15187	14899	14652	14926	14555	96427	76046	46112	29875	21704	17496	17823	14264	14415	14783	14365	14828	89357	73901	44699	29583	21572	18175	16097	15384	15685	15080	15278	14756	95723	72702	44018	29004	21411	18212	15377	15720	15348	14731	15117	14638	73060
0.816667	79356	46103	30640	21216	18421	16188	15248	14805	14723	14268	14051	94406	76813	45445	29402	21992	17548	16625	15426	14468	15456	14638	14118	105987	76414	46571	30632	22132	17526	16011	14894	15028	14466	14969	14394	93479	75255	45238	29244	21410	17514	17874	14289	14695	14610	14111	14772	90211	73517	44567	29729	21804	18203	16054	14731	15725	15003	15375	14793	95666	72021	44531	28903	20765	18034	15488	15461	14804	14752	15018	14875	70870
0.833333	79363	46122	30597	21216	17920	16341	15288	14610	14914	14074	14315	94236	76609	45488	29541	22097	17681	16584	15693	14144	15164	14569	14000	106816	76153	46827	29914	21789	17759	16038	15325	14881	14617	14966	14857	94690	74569	45387	29916	20927	17707	17921	13960	14388	14867	14326	14831	88859	73283	44703	29815	21703	18159	15758	15272	16150	15468	15295	14484	95174	71309	44757	29188	21162	18375	15488	15602	15260	15087	15296	15045	75423
0.850000	78857	46060	30874	21249	18691	15883	14678	15004	14921	14175	14041	94008	76826	46328	29769	21973	17593	16581	15721	14837	14945	14230	14023	103946	76449	46494	30602	22013	17695	16044	14774	14939	14674	14760	14838	94695	74820	45769	29778	21312	17662	17531	14534	14661	14612	14205	14733	88652	73491	44410	29933	22171	17998	15908	15352	15768	14861	15181	14586	98232	72346	43834	28553	21139	18017	15360	15361	15313	15047	14643	14716	80303
0.866667	79562	45603	30344	21115	18246	16250	14989	14975	14699	14274	14279	94165	75811	45215	29519	21848	17606	16159	15969	14730	15142	14309	14317	106467	76555	46208	30496	22270	17793	15894	15273	14848	14749	14892	14904	92806	74936	45648	29288	21217	17492	17836	14462	14689	14609	14100	15067	87028	73870	43881	29575	22186	18060	16302	15316	15599	15081	15057	14438	95511	72084	44505	28597	20999	17949	15331	15576	15295	14993	14920	14650	77413
0.883333	79702	45984	30586	21551	18377	16311	15033	15284	14495	14497	14174	90964	76647	45286	28961	21935	17594	16666	15568	14526	15329	14474	14108	105963	76044	46872	30489	22025	18311	16251	15343	14802	14600	14884	14833	92729	74414	45508	29416	21274	17604	18084	14230	14778	14816	14237	14705	86600	73329	44528	29767	21455	17993	15684	15408	15603	14780	14996	14796	94066	71783	44187	29305	20961	17974	15633	15600	15302	15207	14746	15039	72821
0.900000	79442	45946	30483	21218	17991	15796	15465	15174	14834	14441	14281	92889	76848	45587	29648	21797	17515	16593	15420	14875	15106	14480	14083	102481	75592	45881	30821	21789	17998	15761	15133	14732	14831	14527	14408	96819	75392	45441	29105	21174	17257	17558	14468	14474	14896	14333	14876	85796	72718	44125	29521	21525	18087	15869	14932	15829	14608	15300	14725	99085	71705	44591	29359	20761	18273	15750	15738	15120	14832	14971	14537	72275
0.916667	79447	45514	30260	21410	18188	15408	15101	14852	14739	14454	14389	93830	76224	44954	29676	21618	17559	16456	15244	14475	14958	14446	14235	105511	76791	46739	30929	22403	17812	16267	15145	14720	14661	15042	14631	95599	75221	44906	29310	21025	17232	17579	14097	14690	14867	14612	14613	84721	73476	44034	29334	21666	18061	15633	15297	15917	14774	15440	14411	94843	72239	44149	28839	20909	17810	15583	15917	15226	14749	14977	14816	73577
0.933333	79177	46407	30808	21136	18344	15972	14804	14726	14766	14441	14043	94863	76945	46172	29349	21471	17508	16613	15711	14684	15216	14847	14089	103818	76570	46329	30439	21955	17725	15930	15259	14648	14728	14908	14741	96185	74981	44753	29383	21512	17653	17667	14273	14506	14730	14614	14732	84752	72636	44827	29716	21563	17639	15939	14976	15483	14616	15243	14583	94166	72308	43874	29532	20777	18114	15408	15537	15074	15175	14896	14907	72816
0.950000	78742	46208	30472	21384	18245	15925	15227	15218	14750	14146	14439	93270	76871	45167	29070	22191	17637	16367	15534	14781	14823	14434	14093	107401	77226	46372	30393	21468	17594	15877	15097	14808	14584	14863	14622	95446	74564	44582	29214	20855	17962	17749	14055	14921	14716	14230	15005	87031	73933	44532	29598	21766	17644	15718	15465	15705	15081	14909	14612	97842	72496	43973	28916	21261	17784	15490	15643	15666	14947	14783	14885	77999
