Time	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	E01	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	F01	F02	F03
0.600000	10778	10832	12016	10738	11858	11857	15865	16525	16843	19973	22630	20568	23490	24219	23014	18126	17117	20604	20776	19670	14778	21948	21080	22171	29293	29514	28192	32484	31704	32696	18695	17451	17272	18910	17940	20756	23933	26228	26862	23932	24897	27278	31413	32543	32650	17906	20360	19864	21176	21130	19856	22376	23044	22922	27388	27368	27306	31760	32516	29822	32801	34890	36131
0.616667	10922	10838	12316	11601	12244	12308	16474	16731	17330	20584	23491	21588	24684	25264	24148	18846	17524	20720	21957	20529	15416	23070	22437	23457	29991	30500	28999	31920	31411	32000	19668	18216	17668	19351	18797	21256	24241	27127	27351	25214	26244	27912	31679	32250	32948	18503	21008	20519	22052	21732	21024	23908	24577	23927	28542	28433	28041	31580	31982	29989	33552	34980	36212
0.633333	11094	11046	12332	11575	12690	12796	16883	17555	18066	21476	24490	22681	25131	25889	24908	19340	18319	22222	23069	21856	15712	24003	23468	24324	30881	31459	29636	31716	30999	32130	20377	19326	18202	20552	19442	21675	24234	28180	28880	26276	26918	29460	31307	32189	32685	18955	21330	20788	23147	23135	21573	24736	25261	24634	29715	29676	28837	31616	31832	29948	32834	34716	35575
0.650000	11664	11239	12566	11708	12548	13112	17501	18381	18040	22301	25346	22980	25914	26893	25801	20179	19035	22723	23752	22614	16614	25451	24760	25404	31576	32156	30864	31449	30898	31915	21062	20210	18944	21179	20445	22569	24482	29572	29992	27377	28201	29963	31502	31912	32372	19592	22148	21740	23652	23740	23068	25722	26668	26065	30910	31129	30343	30972	31432	29757	32868	34544	35522
0.666667	11832	11377	12579	11993	12932	13376	17956	18498	18797	22948	26375	23520	26763	27672	26660	21020	19570	23421	24212	23657	16901	26305	25584	26213	32223	33142	31753	31763	30798	31616	21899	21067	19237	21572	20928	23068	24302	30394	30612	29067	29160	31129	31306	32369	32510	19985	22996	22249	24642	24953	23852	26915	27528	27279	31856	32188	31498	31243	31784	29389	33168	34176	35500
0.683333	12003	11769	12965	12528	13503	13550	18600	19099	19449	23462	26728	24147	28011	28387	27537	21500	20318	24415	25374	24455	17597	27511	26543	27168	33143	33527	33012	31333	30504	31552	22832	22112	19924	22544	21533	23740	24306	30875	31627	29729	30276	32192	31175	32306	31868	20330	23580	23074	25469	25748	24305	28336	28362	27793	32543	33382	32831	30899	31128	29292	32678	33985	35252
0.700000	12200	11935	13521	12507	13931	13926	19156	19584	20072	24380	27361	25018	28300	29056	28100	22408	20809	24881	26716	25368	18284	28321	27628	28304	33912	33926	33748	31236	30394	31526	23210	22771	21209	23897	22384	23946	24309	31526	32007	31211	31260	32931	30912	32206	32286	21292	23990	23462	26446	26235	25754	28555	29247	29085	33795	34202	33761	30756	31274	29457	32891	34385	35256
0.716667	12662	12122	13875	12960	13890	14199	19623	20340	20902	24760	28529	25751	29040	29948	29386	23254	21635	26135	27848	25890	19052	29391	28266	29194	34360	34587	34204	31060	30139	31608	24287	23428	22512	25067	22972	24420	24516	32599	33127	31737	32103	34274	31042	31632	31332	21613	24656	24344	27514	27862	26641	30028	30722	29731	34493	35040	34727	30864	31074	29580	32368	34032	35073
0.733333	12838	12471	13916	13324	14122	14123	20189	20916	21293	25944	29270	26741	29919	30477	29752	23944	21982	27121	28005	27092	20153	30498	28872	29435	34440	34947	35332	30903	30630	31106	25275	24325	23742	26426	23677	25405	24332	33333	33782	33026	32363	35260	30922	31533	32232	22180	25308	25531	28073	28747	27258	30928	31123	31392	35877	35681	35855	30453	31015	28928	32545	33819	34888
0.750000	12830	12353	14342	13436	14674	14722	20888	21212	21870	26460	30031	27268	30268	31149	30506	24701	23480	28141	29212	27874	21048	30804	29516	30260	35455	35675	35670	31025	30013	31453	26097	25286	24122	27242	24664	25344	24810	34232	33908	34094	33804	35677	30686	31934	32023	22811	26232	26447	28524	29651	28202	31680	32372	32124	36544	36543	36456	30636	31228	29260	32539	33779	35358
