Time	B02	B04	B06	C02	C04	C06
2.357500	1599	433	7783	1623	496	5698
2.363889	1604	430	7818	1612	483	5713
2.370278	1611	443	7878	1620	503	5741
2.376667	1621	439	7887	1628	491	5760
2.383056	1609	436	7972	1635	483	5819
2.389444	1605	441	7996	1631	492	5854
2.395833	1620	437	8026	1631	488	5841
2.402222	1615	438	8047	1644	483	5868
2.408611	1632	435	8126	1639	498	5879
2.415000	1636	446	8117	1643	494	5968
2.421389	1643	426	8175	1639	486	5953
2.427778	1641	431	8188	1649	488	5982
2.434167	1643	441	8258	1665	494	6017
2.440556	1646	441	8332	1652	490	6054
2.446944	1635	437	8328	1648	486	6055
2.453333	1648	441	8403	1651	492	6110
2.459722	1642	439	8403	1668	491	6111
2.466111	1649	438	8470	1680	490	6158
2.472500	1653	439	8481	1653	487	6176
2.478889	1670	438	8543	1665	495	6204
2.485278	1646	437	8529	1647	492	6237
2.491667	1660	441	8599	1677	493	6292
2.498056	1654	437	8616	1685	493	6294
2.504444	1650	435	8654	1668	494	6329
2.510833	1661	444	8728	1673	481	6377
2.517222	1676	438	8746	1681	494	6406
2.523611	1664	440	8756	1674	500	6420
2.530000	1683	436	8803	1697	493	6439
2.536389	1681	438	8838	1685	485	6484
2.542778	1660	440	8852	1698	493	6514
2.549167	1680	445	8899	1698	497	6539
2.555556	1679	441	8933	1695	481	6541
2.561944	1686	437	8979	1669	486	6586
2.568333	1686	433	9047	1704	497	6603
2.574722	1692	433	9055	1689	494	6663
2.581111	1698	433	9125	1687	482	6666
2.587500	1717	427	9193	1702	495	6707
2.593889	1704	433	9187	1715	496	6730
2.600278	1693	437	9220	1710	494	6778
2.606667	1705	432	9229	1717	489	6825
2.613056	1711	436	9277	1706	500	6803
2.619444	1710	431	9341	1723	484	6887
2.625833	1720	434	9378	1729	492	6890
2.632222	1709	441	9396	1729	497	6936
2.638611	1725	447	9447	1724	489	6965
2.645000	1705	438	9515	1742	493	6962
2.651389	1709	438	9507	1730	493	7031
2.657778	1707	440	9542	1740	497	7073
2.664167	1716	434	9590	1739	499	7070
2.670556	1704	438	9679	1740	490	7121
2.676944	1721	434	9708	1730	498	7153
2.683333	1733	440	9754	1742	493	7147
2.689722	1735	435	9740	1746	487	7189
2.696111	1739	429	9781	1754	499	7210
2.702500	1732	435	9899	1757	498	7267
2.708889	1742	437	9911	1756	497	7321
2.715278	1759	438	9979	1754	494	7356
2.721667	1737	445	9939	1762	502	7382
2.728056	1757	433	9994	1760	495	7398
2.734444	1735	439	10113	1755	500	7456
2.740833	1748	432	10113	1764	498	7451
2.747222	1762	432	10163	1770	498	7522
2.753611	1765	439	10149	1775	507	7509
2.760000	1758	436	10254	1773	495	7568
2.766389	1759	435	10245	1777	496	7622
2.772778	1760	435	10335	1767	500	7697
2.779167	1758	440	10349	1779	502	7718
2.785556	1778	437	10385	1785	492	7738
2.791944	1778	439	10460	1790	489	7741
2.798333	1779	435	10555	1778	509	7783
2.804722	1772	437	10557	1784	497	7818
2.811111	1787	444	10554	1784	493	7862
2.817500	1762	435	10585	1798	494	7899
2.823889	1773	438	10662	1791	506	7921
2.830278	1788	443	10668	1787	499	7988
2.836667	1802	442	10709	1800	490	7993
2.843056	1784	439	10771	1806	494	8062
2.849444	1780	435	10789	1796	492	8093
2.855833	1780	436	10828	1807	497	8076
2.862222	1799	437	10851	1813	495	8159
2.868611	1796	434	10899	1816	499	8195
2.875000	1796	434	10919	1810	496	8226
2.881389	1812	431	10975	1818	495	8248
2.887778	1806	439	11059	1818	503	8293
2.894167	1805	436	11101	1834	494	8323
2.900556	1803	439	11043	1821	502	8382
2.906944	1812	431	11111	1826	494	8414
2.913333	1808	428	11121	1825	493	8438
2.919722	1811	442	11169	1833	503	8467
2.926111	1818	435	11246	1854	495	8469
2.932500	1833	442	11311	1827	495	8565
2.938889	1802	436	11346	1829	493	8582
2.945278	1811	439	11424	1831	495	8607
2.951667	1818	433	11458	1836	491	8667
2.958056	1811	441	11491	1844	506	8680
2.964444	1819	434	11521	1853	500	8707
2.970833	1822	440	11626	1852	498	8783
2.977222	1833	428	11592	1847	499	8779
2.983611	1841	435	11656	1872	499	8892
