Time	B02	B03	B04	B05	B06	B07	B08	B09	B10	C02	C03	C04	C05	C06	C07	C08	C09	C10	D02	D03	D04	D05	D06	D07	D08	D09	D10	E02	E03	E04	E05	E06	E07	E08	E09	E10	F02	F03	F04	F05	F06	F07	F08	F09	F10	G02	G03	G04	G05	G06	G07	G08	G09	G10
0.856111	67743	72398	71774	73914	77375	73936	74095	73614	73676	68169	70640	73766	75708	77621	82037	78821	78863	82284	68192	73047	78300	33066	33812	34291	35584	35249	35667	32868	33825	33949	34277	32811	33566	35092	35705	35209	36103	34613	35135	76384	76479	77350	37222	37186	35825	37706	37268	36411	71789	73842	71266	70210	69108	68483
0.868889	68140	72872	71695	73314	76723	74682	74896	72954	75174	66849	69416	73425	74190	78069	81516	78900	78112	81256	68631	73191	77647	33146	33556	33867	35445	34840	35715	32988	33250	33775	33157	33006	33451	35548	35903	35949	36003	35276	35150	75929	75745	78225	37528	37043	35723	37397	36519	36515	71309	75096	71549	69458	68981	69347
0.881667	67825	72700	72002	73397	76288	74838	74460	73947	75682	66866	69879	73493	74844	78430	81399	78796	78908	82000	67925	73507	78072	32997	33638	34285	35545	35195	36412	33053	33418	33542	34206	33864	33064	35177	36101	35400	35709	34557	35208	77294	75941	78458	37945	37429	35628	37221	37163	37085	71707	74172	70679	69949	69393	68508
0.894444	68258	72435	71768	73374	75556	75980	74046	73448	74323	67264	70723	74052	74789	79231	80834	78809	78179	81492	68972	72644	78529	33296	33892	34354	35266	35546	36213	33276	33777	34058	33325	33250	33679	35508	35839	35447	36194	34770	34501	76690	76889	78410	36948	37104	36090	37358	37478	37287	71224	73495	70641	69457	69102	68880
0.907222	68304	72233	70870	72658	76906	74807	74291	73637	74706	67566	70412	73365	74716	79347	81489	79201	78323	81558	68645	73636	77235	33657	33452	33205	35469	34896	36082	33300	32482	34188	33193	32550	33508	35940	35765	36326	35490	34822	35267	76719	75905	79293	36896	37118	35841	38087	37210	36468	70281	74102	71034	69171	68459	69214
0.920000	66994	72097	70718	72764	76943	74860	73911	72785	73516	66355	69703	73360	74575	77752	82891	79546	78600	81517	69294	72998	78011	33970	33637	33852	35923	34920	36348	33356	33421	33680	33555	32993	33010	35203	35633	35797	35388	35445	34927	76682	76766	78505	37296	36952	36306	38200	36952	36816	72284	74791	70751	69159	68541	69269
0.932778	68950	71218	71500	74010	76103	74647	74085	72243	75079	65696	70711	72898	74259	78008	81875	78833	77615	83138	67844	73292	77522	33461	33744	33989	35441	35057	36136	33199	33659	33860	33453	33185	32892	34939	36528	35210	36345	34577	34916	76775	76382	78198	37800	37334	35666	38186	37362	37271	71990	74387	71698	70052	69668	69842
0.945556	68388	72642	70771	73158	75359	73614	75092	73461	74905	66679	69742	72108	73981	78161	81680	78728	78044	82601	69520	72953	78409	34069	33846	34272	35449	34979	36275	32595	33305	33576	33976	33444	33036	34890	36408	35815	36086	35064	34476	77084	75409	78252	37658	37754	36480	38631	37068	37188	72624	74154	70342	69160	68236	68819
0.958333	68862	73592	71533	73061	75635	74588	73161	73593	73988	66076	70603	71481	74395	78806	81574	79623	77961	82623	67918	73673	77321	33924	33756	34085	35606	34938	36690	32701	33743	33347	33576	33305	32970	34950	35543	35436	35958	34684	34839	76838	75724	78860	37559	37331	35859	37790	37305	37716	72642	73987	70864	69205	68040	69577
0.971111	67968	72388	71117	72472	75766	74184	73515	74147	74867	66587	69569	72542	73257	77309	82035	78732	78277	81901	69340	75127	77413	34610	33825	33874	36178	35648	36202	32567	33437	33697	33417	32602	32972	35418	36523	35349	36006	34917	34541	77042	77046	78349	37586	37205	35809	37764	37560	36826	72340	73686	71447	69396	69465	69475
0.983889	67805	73011	71248	71877	75546	73746	74723	73477	75449	67020	69993	72123	74676	78197	81304	79362	79382	81695	68931	73922	77011	33962	33200	33434	35930	34882	36451	32963	34200	33789	33729	32966	33506	35337	35990	35573	35804	34670	34616	78107	76283	79267	37213	37229	35740	37849	37468	37345	72516	74138	70777	69679	68755	69687
