Time	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	E01	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	G01	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11	G12
1.214167	159453	155463	140126	131550	127201	145514	18021	16667	16763	16950	15294	16877	15893	15943	16600	16996	16884	16764	18438	19004	17577	19398	18790	22435	21624	21542	21643	22251	22179	22635	34360	35041	35333	34918	33950	35001	71365	71166	71535	71469	77312	74207	46582	42166	19085	28037	17721	61431	15222	16249	16327	16373	15827	16288	16002	16002	15991	17001	15422	15429	17133	16966	15726	16515	18204	16508	18707	18710	18491	18679	18625	18728	24611	25020	25094	26279	26235	28725	52814	60494	53177	53407	51724	54035
1.253333	160454	157213	144625	135825	132481	148247	17666	16800	17112	16572	14790	17264	15871	16035	16139	16934	16925	16965	18578	19079	17897	19511	18279	22346	21290	22121	21204	22191	21791	21759	34904	35276	34653	34964	34672	36572	71055	71980	71365	72308	76808	74149	48609	42638	19707	32014	18491	64693	15541	16545	15720	16523	15466	16390	16237	15897	16197	16696	15443	15636	16759	16696	15992	16414	18067	16435	18529	18973	18896	18802	18298	18507	24611	24886	25449	25880	25651	28966	51864	59982	53003	53948	53209	53108
1.292500	161044	157178	147750	140514	134444	151493	18011	16985	17234	16458	15044	17161	15749	16573	16494	17579	16824	18515	18558	21707	17426	19492	18803	21858	21117	21405	21953	22259	21858	22342	34714	34585	35442	34604	34302	35342	71134	71446	71559	71215	76509	73467	50590	45896	20471	35654	19619	66856	15270	16859	15948	16156	15688	16558	15592	15683	15885	16438	15200	15905	16934	16801	16211	16248	17219	16379	18489	18952	18007	18931	17918	18483	24331	25144	25278	25531	25774	28219	52728	59177	53284	53078	52320	53424
1.331667	161908	161068	148401	143493	135297	149772	17616	16898	16439	16424	14984	17268	15970	15733	16415	17381	16477	16810	18429	20783	17553	19562	17988	22330	21199	21560	21677	21817	21882	22427	34952	35391	35182	34044	33880	35048	70433	69819	72181	72958	77231	74630	52533	48370	21394	39262	20927	70084	15437	16818	15906	16184	15736	16318	16687	15910	15697	17080	15243	15529	16636	16667	15476	16150	17608	16567	18542	18475	18690	18420	18258	18798	24598	24367	24897	25421	25923	29204	51963	59784	53837	52777	52020	54147
1.370833	163288	160430	151083	146244	136133	153812	18400	16681	16667	16878	15142	16797	15232	15801	16451	16532	16369	16987	17955	20266	17163	19495	18789	22365	21246	21651	21768	21760	21790	22145	34710	35265	35067	34513	34043	35664	71302	71880	72514	71421	77524	74159	54027	51162	22319	43243	22888	71363	14731	16763	15633	16232	15483	16478	15910	15767	15586	16467	15325	16341	17152	16432	15560	16360	17163	16256	18095	18420	18393	18845	18274	19060	24667	24911	25527	25702	25435	29150	52292	58592	53325	52816	51842	53521
1.410000	165125	160570	150332	147400	138965	153412	17774	16518	16405	16778	14898	17058	15668	16034	16049	16969	16152	17126	18325	26349	17254	19177	18952	22521	21169	21530	21505	21597	21683	22297	35345	35732	34788	34950	34555	36072	70935	71160	72116	72312	77533	73808	54065	53319	23714	47613	23787	72434	15095	16974	15793	16623	15161	16598	15793	15703	15818	16287	15563	16027	16956	16805	15564	16064	17112	16741	18471	18801	18346	18744	18163	19100	24795	25126	25219	25655	24977	28284	52451	57652	53655	53903	52908	54058
1.449167	165097	161656	153057	148534	140606	152760	19013	17143	16559	16987	15043	16982	16067	15543	16001	17529	16810	18718	17972	22082	16895	19337	18667	22180	20795	21597	21708	22084	22008	21530	34851	35302	35335	34596	34179	36219	71191	71313	72550	72580	77551	74425	56143	54672	25096	49541	24958	74726	15147	17186	15826	16662	15521	16107	15796	15474	15343	16273	15016	16609	16268	16327	15983	16379	17243	16123	18780	18689	18625	18034	17643	19025	24756	25072	25441	25162	25597	28293	52120	56804	53970	53781	52050	54546
1.488333	164931	162808	150970	149962	143190	155029	18720	16840	16831	17040	14889	17285	16040	15787	15729	17234	16204	16840	17881	18832	17249	19218	18911	22409	21140	21486	21311	22142	21605	22003	34443	34938	34812	34872	34213	35536	71606	70564	72331	71845	78063	74086	56691	54546	26080	53708	27252	74331	15154	17527	15645	16290	15481	16399	15670	15411	15709	15954	15441	16300	16423	16689	15411	16169	17182	16424	18305	18276	18551	18764	18133	18887	24845	24630	25315	25160	25596	28547	52345	57963	53046	53851	51912	53020
1.527500	165925	157501	153167	150877	142193	152042	19215	17034	16658	17130	14781	17463	15750	15843	16033	16926	16586	16444	17861	20869	17481	19463	18438	22572	21433	21508	21422	21727	21380	22132	35116	35198	35026	33986	33800	36033	71140	71467	72662	72141	77508	74101	57253	60424	28835	54861	29521	73583	15153	17546	15721	16116	15632	16395	15321	15539	15541	16615	15217	16223	16469	16343	15447	15953	17068	16426	18028	18238	18270	18412	17501	18973	24607	24835	24630	25074	25324	28440	51905	57753	53827	53245	52337	53601
1.566667	163428	157000	154117	149828	143396	155321	19621	17540	16691	16969	15200	17562	15756	15608	16236	16628	16127	16780	17645	23903	17596	19133	18584	22461	21092	21363	21513	21739	21529	22028	34665	34518	35079	34827	34323	35600	70851	71736	72900	72525	77659	74474	57864	62234	30163	58242	31618	76548	14989	17292	15910	15908	15489	16414	15698	15446	15925	16607	14781	16599	16585	16765	15366	15889	17454	16103	18085	18449	17979	18535	17850	18535	24754	24962	24942	24691	25279	28258	52121	58444	53455	53010	52267	53536
1.605833	164918	155693	154599	151563	146660	153779	19820	16681	15982	16806	14839	17190	15970	15877	15778	16987	16457	16639	18377	20574	17422	18876	18256	22371	21313	20710	21426	21463	21443	21461	34596	34700	34408	34901	33736	35573	71670	72276	72396	72406	77224	74265	59288	62673	31496	60816	33839	75527	15061	17161	15821	15713	15581	15838	15760	15054	15628	16259	15206	16312	16352	16259	15246	16061	17339	16710	18165	18289	18337	18068	17921	18189	24754	24681	25089	25589	24560	28510	51870	57661	54258	54010	51902	53081
