Time	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	E01	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	G01	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11	G12	H01	H02	H03	H04	H05	H06	H07	H08	H09	H10	H11	H12
0.611389	15503	17461	17516	18489	17311	19056	17572	18179	17439	17390	17809	17187	15327	17712	17040	17960	17490	17564	17686	17478	17641	17206	17604	17351	15655	18639	17451	17471	18197	17788	17622	17815	17433	17446	17562	17304	15742	18028	18361	17683	17608	18134	18304	18333	18384	18021	17879	16711	16946	19065	19572	19460	19030	19487	22629	22657	22052	22069	21837	22518	25822	27487	27393	27432	27967	27653	40697	39945	41539	41686	42809	41155	67625	71682	66324	71541	68549	65789	17306	19067	16115	16406	15948	15897
0.631111	15874	17161	17653	18821	17657	19011	17902	17989	17246	18002	17888	17492	15505	17535	17167	17667	17705	17955	17662	17520	17647	17593	17482	17754	15717	18460	18003	17829	18228	17939	17948	17701	17899	17432	17432	17264	15711	17967	18185	17845	17889	18439	18767	17930	18208	18244	18680	16992	16566	19165	19080	19144	19281	19653	22496	22901	22794	22596	22731	22454	26301	27788	27203	27709	28066	27942	40955	40951	41509	41387	42895	41785	68576	71919	67155	71247	68790	65102	17047	19402	16318	16847	16128	15681
0.650833	15620	17708	17460	19162	17753	19162	17384	17945	17401	17551	18146	17255	15319	18033	17477	17809	17806	17887	17798	17915	17779	17441	17649	17167	15758	18248	17683	18201	17927	17912	18014	18013	17587	17589	17834	17771	15443	18368	18542	18085	17666	18413	18692	18499	18408	18307	18195	16742	17137	19714	19325	19523	19704	19903	22315	22448	22393	22989	22430	21927	26123	27728	27415	27399	27649	27555	41540	40784	41615	41978	43811	41073	68351	72069	66917	71780	69323	66740	16902	19256	16761	16711	16082	16544
0.670556	15583	17457	17996	18960	17445	19640	17303	17901	17281	17858	18105	17157	15389	17623	17579	18088	17769	17883	17775	18064	17921	17484	17892	17323	15410	18639	17655	18054	18220	17516	18073	17909	17501	17597	17359	17415	15649	18381	18433	18248	18129	18287	18758	18304	18582	18049	18223	16680	16996	19234	19613	19126	19618	19936	22746	22388	22806	23048	22724	21986	26557	28042	27718	27757	28042	27468	41351	40912	42299	41806	44295	41466	69218	71602	67713	72744	69058	66923	16999	18799	16360	16990	16154	16181
0.690278	15897	17595	17711	18969	17443	19606	17666	18338	17535	17348	18125	17600	15631	17745	17376	18166	17946	18161	17716	17772	17498	17738	17724	17481	15253	18600	17999	18116	17945	17648	18005	18110	17653	17814	17573	17182	16131	17936	18040	17682	18113	17882	18547	18887	18136	17993	18635	16426	17074	19347	19638	19249	19572	19868	22672	22557	22598	23070	22565	22095	26594	27687	27409	28654	27992	27926	41677	40830	42063	41990	45148	41793	69561	71518	67806	72173	69448	66515	16933	19170	16238	16806	16129	16277
0.710000	15648	17199	17604	19035	17802	19600	17754	18003	17436	17694	18092	17049	15587	17897	17651	18094	17885	18345	17737	17526	17315	17602	18025	17385	15642	18708	17712	18248	18258	17851	18079	18164	18086	17938	17149	17859	15383	17920	18382	18137	18134	18164	18404	18411	18680	18063	18583	16912	16632	19029	19570	19566	19676	19748	22897	22955	22944	22819	22740	22483	25823	28329	28121	28117	28594	28506	40633	41417	42422	42156	44905	42036	69206	72104	67222	73378	69827	67209	16976	18893	16522	16958	16159	15576
0.729722	16107	17228	17629	19085	17612	19495	17180	17678	17436	17128	17758	17353	15779	17676	17452	17720	17748	17946	18285	17774	17570	17746	17948	17271	15725	18366	17807	18041	18076	17983	18169	18019	17729	17597	17578	17573	15326	18312	18001	18167	18058	17927	18837	18856	18365	18283	18323	16646	16670	18974	19391	19109	19539	20218	22810	22658	22524	22976	22664	23051	26324	27965	27689	27993	28798	28319	41420	41122	42305	42333	45062	42365	69859	73177	68593	73710	69177	66919	17062	19170	16042	16749	16506	15805
0.749444	15765	17437	17647	19147	17513	19414	17479	18061	17471	17452	17572	17450	15203	17521	17294	17717	17588	18033	17413	17498	17307	17412	17597	17356	15785	18657	17730	17807	17846	18278	18359	17954	17870	17418	17586	17418	15838	18270	18219	17665	17811	17902	19212	18386	18241	17594	18219	16919	17052	19226	19816	19504	19369	19607	22821	22691	22769	22794	22668	22120	26008	27922	27483	28118	28293	27945	41817	41881	42801	42474	44994	41757	70711	72714	67787	72869	69522	67756	16987	19230	16230	17117	15939	15827
0.769167	15725	17364	17603	19166	17912	19101	18044	18050	17011	16880	17891	17693	15589	17256	17921	17681	17979	17752	17958	17788	17650	17531	17360	17021	15504	18246	17741	17633	18146	17851	18417	18066	18048	17619	17774	17231	15350	17830	18451	17772	18222	18145	18712	18230	18243	18004	18648	16673	16913	19544	19773	19437	19304	20159	22639	22446	22536	23074	22571	22391	26399	28377	27901	27841	28166	28532	41687	42032	42280	41990	45328	42260	70141	72920	68827	73075	70617	67722	16907	18613	16319	16963	16151	15712
0.788889	15770	17382	18012	19105	17578	19283	17672	17796	17581	17404	17984	17343	15329	17520	17462	17868	17644	17980	17486	17315	17365	17480	17680	17277	15368	18398	17659	17741	18484	17678	18086	18190	17777	17577	17551	17161	15437	18089	18281	17811	18177	18408	18506	18177	18180	18241	18212	16719	17044	18932	19299	18848	19440	19909	22945	22706	22272	22809	22682	22913	27029	27924	27803	28043	28138	27511	41520	41032	42306	42188	44941	41873	71216	72660	67977	74733	69472	67524	16769	18536	16068	16588	15945	15906
0.808611	15749	17608	17078	19164	17752	19361	18213	17555	17811	17366	17813	17307	15206	17765	17167	17481	18020	17835	17764	17439	17474	17481	17824	17091	15741	18486	17197	18264	18329	17601	17654	18339	18059	17228	17495	16925	15676	17936	18114	17869	17877	18149	18700	18611	18180	17978	18482	16793	16933	19071	19251	19019	19270	19934	22921	22461	22744	22582	22485	22366	27510	28064	27569	28356	28524	28184	42075	41184	42168	42143	44649	41726	71035	72485	68788	73773	69721	67936	16680	18676	16141	16454	16219	16249
0.828333	15769	17397	17358	18979	17329	19344	17389	17667	17164	17612	17697	16828	15211	17264	16839	17558	17918	17534	17601	17627	17509	17288	17398	17518	15428	18272	17420	18065	18039	17748	18316	17909	17746	17660	17082	17267	15808	17951	18124	17901	17869	18093	18398	18085	18210	18163	18234	16578	16866	19052	19584	18814	19066	19957	22397	22965	22714	23099	22544	22301	26586	28657	28128	27722	28898	28290	42572	41687	42791	42549	45146	42197	71704	73617	69283	74031	69838	68142	17039	18829	16139	16797	16096	15993
0.848056	16098	17469	17400	18767	17905	19080	17589	17617	17359	17212	17968	17332	15862	17325	17490	18175	18042	17757	17692	17766	17636	17194	16993	17291	15865	18448	17522	17542	18012	18025	17640	18068	17524	17587	17035	17131	15345	18073	17962	17830	17916	17991	18944	18323	18737	18277	18236	16290	16773	18910	19717	18911	19722	19415	23122	22898	22445	22530	22583	22432	26893	28072	28211	28193	28188	27981	42465	42236	42675	43164	45358	42100	70813	74357	68466	73970	71075	68462	17139	18263	15832	17045	16281	16116
0.867778	15740	18001	17172	18507	17556	19625	17784	17446	17328	17322	17351	17322	15537	17385	17588	17524	17901	17763	17587	17534	17331	17392	17335	17207	15308	18594	17714	17493	17816	17804	18373	17676	17802	17712	17588	17297	15861	17756	18604	17788	17950	17984	18585	18300	18086	18296	18088	16798	17301	19067	19177	19344	19480	19752	22798	22279	22862	22590	21980	22591	27211	28202	28216	27664	28394	28124	42143	41521	42590	42780	44889	42067	72203	74198	69331	74303	70752	68835	16794	18467	16000	16358	16147	15594
0.887500	15750	17054	17387	18541	18070	19430	17597	17352	17435	17067	17200	17179	15273	17026	17133	17574	18035	17753	17312	17541	17473	17428	17276	16912	15500	18484	17170	17871	17787	17578	17538	17648	17737	17532	17197	17337	15668	17689	18215	17952	17935	18015	18705	18133	17842	18211	18173	16685	17117	19159	19231	19303	18976	20120	23004	22539	22766	22590	22155	22411	27505	28331	27977	28589	28489	28264	42635	42208	43164	43130	45287	42936	72332	74280	70234	74853	70907	68646	17299	18431	15835	16933	15521	15450
